id^c_inspect^c_state_stage^C_COUNTRY^c_contacts^c_okved_array^C_VIDS_CL^c_okved_in_period^c_addresses^C_OKATO_CODE^c_name^C_I_NAME^C_INN^ C_KIO^C_CRR^c_kpp^c_Resident^c_taxr^c_crt_dat
140194335073^140194335078^140194335118^5623^140194335076^140194335104^140194335108^140436959243^140194335077^45286596000^Белов Ян Димитриевич^Belov Jan Dimitrievich^892411578156^^431201001^^0^^02.05.16
140194335020^140194335025^140194335065^5623^140194335023^140194335051^140194335055^140595537609^140194335024^45293594000^Сысоева Евфросиния Тимуровна^Sysoeva Evfrosinija Timurovna^778408016097^^332801001^^1^^17.11.16
140194334967^140194334972^140194335012^5623^140194334970^140194334998^140194335002^140236830028^140194334971^45263591000^Зинаида Леонидовна Крюкова^Zinaida Leonidovna Krjukova^1393328711^^110501001^^0^^04.05.16
140194334914^140194334919^140194334959^5623^140194334917^140194334945^140194334949^140428264429^140194334918^18401365000^Пелагея Борисовна Антонова^Pelageja Borisovna Antonova^8418583989^^110201001^^0^^21.04.16
140194334861^140194334866^140194334906^5623^140194334864^140194334892^140194334896^140506647268^140194334865^71183000000^Эдуард Теймуразович Филиппов^Eduard Tejmurazovich Filippov^9342320947^^890101001^^0^^27.01.16
140194334808^140194334813^140194334853^5623^140194334811^140194334839^140194334843^140526994026^140194334812^45263591000^Симонов Владислав Вилорович^Simonov Vladislav Vilorovich^018684833969^^027601001^^1^^16.04.16
140194334755^140194334760^140194334800^5623^140194334758^140194334786^140194334790^140493132014^140194334759^46472000000^Мир Архипович Большаков^Mir Arhipovich Bol'shakov^9179533041^^161501001^^1^^30.09.16
140194334702^140194334707^140194334747^5623^140194334705^140194334733^140194334737^140335380271^140194334706^03420370000^Евсеев Данила Игнатьевич^Evseev Danila Ignat'evich^601230989101^^770501001^^1^^03.09.16
140194334649^140194334654^140194334694^5623^140194334652^140194334680^140194334684^140691543634^140194334653^46472000000^Никонов Фирс Валерианович^Nikonov Firs Valerianovich^6151090321^^110601001^^1^^05.07.16
140194334596^140194334601^140194334641^5623^140194334599^140194334627^140194334631^140110598744^140194334600^46505000000^Лаврентьев Аркадий Адамович^Lavrent'ev Arkadij Adamovich^869141314562^^110601001^^0^^24.01.16
140194334543^140194334548^140194334588^5623^140194334546^140194334574^140194334578^140593626109^140194334547^45286596000^Волкова Фёкла Болеславовна^Volkova Fekla Boleslavovna^6345792302^^772401001^^0^^24.11.16
140194334490^140194334495^140194334535^5623^140194334493^140194334521^140194334525^140693475257^140194334494^45293594000^Лобанов Ипатий Валерианович^Lobanov Ipatij Valerianovich^9720769845^^110201001^^0^^30.05.16
140194334437^140194334442^140194334482^5623^140194334440^140194334468^140194334472^140156980189^140194334441^45263591000^Зоя Владиславовна Шилова^Zoja Vladislavovna Shilova^071508423759^^110201001^^0^^21.04.16
140194334384^140194334389^140194334429^5623^140194334387^140194334415^140194334419^140239412180^140194334388^87420000000^Капустина Юлия Владимировна^Kapustina Julija Vladimirovna^4661093523^^183701001^^0^^27.03.16
140194334331^140194334336^140194334376^5623^140194334334^140194334362^140194334366^140276875490^140194334335^45263591000^Мельникова Татьяна Николаевна^Mel'nikova Tat'jana Nikolaevna^0696027142^^771801001^^1^^22.06.16
140194334278^140194334283^140194334323^5623^140194334281^140194334309^140194334313^140392418066^140194334282^46472000000^Мартынова Тамара Юльевна^Martynova Tamara Jul'evna^007547063812^^784201001^^1^^06.01.16
140194334225^140194334230^140194334270^5623^140194334228^140194334256^140194334260^140531485344^140194334229^45277598000^Панкратий Жанович Смирнов^Pankratij Zhanovich Smirnov^3008913193^^614701001^^1^^05.12.16
140194334172^140194334177^140194334217^5623^140194334175^140194334203^140194334207^140385449094^140194334176^18401365000^Добромысл Бориславович Мухин^Dobromysl Borislavovich Muhin^610471428512^^332801001^^0^^18.04.16
140194334119^140194334124^140194334164^5623^140194334122^140194334150^140194334154^140693101387^140194334123^45277598000^Алина Аскольдовна Ершова^Alina Askol'dovna Ershova^485590977658^^301543001^^1^^10.03.16
140194334066^140194334071^140194334111^5623^140194334069^140194334097^140194334101^140650279660^140194334070^03420370000^Сафонов Кузьма Августович^Safonov Kuz'ma Avgustovich^2245551590^^110201001^^1^^17.01.16
140194334013^140194334018^140194334058^5623^140194334016^140194334044^140194334048^140462945277^140194334017^45286590000^Геннадий Ермолаевич Денисов^Gennadij Ermolaevich Denisov^682417304281^^507601001^^0^^27.04.16
140194333959^140194333964^140194334004^5623^140194333962^140194333990^140194333994^140176302263^140194333963^46472000000^Максим Ефимович Аксенов^Maksim Efimovich Aksenov^118775517176^^184101001^^0^^15.01.16
140194333906^140194333911^140194333951^5623^140194333909^140194333937^140194333941^140359545358^140194333910^45286555000^Герман Владленович Исаев^German Vladlenovich Isaev^9611133060^^431201001^^1^^08.02.16
140194333853^140194333858^140194333898^5623^140194333856^140194333884^140194333888^140316895624^140194333857^46505000000^Спартак Ермолаевич Третьяков^Spartak Ermolaevich Tret'jakov^7936153492^^614701001^^0^^16.06.16
140194333800^140194333805^140194333845^5623^140194333803^140194333831^140194333835^140677238653^140194333804^87425000000^Андреев Арсений Аксёнович^Andreev Arsenij Aksenovich^8731764303^^110201001^^1^^30.08.16
140194333747^140194333752^140194333792^5623^140194333750^140194333778^140194333782^140471445974^140194333751^71183000000^Лазарев Ратмир Матвеевич^Lazarev Ratmir Matveevich^582197296687^^471201001^^1^^20.09.16
140194333694^140194333699^140194333739^5623^140194333697^140194333725^140194333729^140360387009^140194333698^87425000000^Лидия Святославовна Чернова^Lidija Svjatoslavovna Chernova^3893055508^^027601001^^0^^27.02.16
140194333641^140194333646^140194333686^5623^140194333644^140194333672^140194333676^140156135543^140194333645^18401365000^Элеонора Владиславовна Одинцова^Eleonora Vladislavovna Odintsova^6947118013^^771901001^^1^^20.02.16
140194333588^140194333593^140194333633^5623^140194333591^140194333619^140194333623^140657917043^140194333592^45293594000^Попов Прохор Игнатович^Popov Prohor Ignatovich^227586880918^^507601001^^1^^21.10.16
140194333535^140194333540^140194333580^5623^140194333538^140194333566^140194333570^140406292474^140194333539^71183000000^Воробьева Наталья Григорьевна^Vorob'eva Natal'ja Grigor'evna^4896769930^^470501001^^0^^12.09.16
140194333482^140194333487^140194333527^5623^140194333485^140194333513^140194333517^140464145131^140194333486^87420000000^Евгения Кузьминична Селезнева^Evgenija Kuz'minichna Selezneva^945174466602^^862101001^^0^^05.09.16
140194331018^140194331023^140194331063^5623^140194331021^140194331049^140194331053^140681250186^140194331022^03420370000^Жанна Ильинична Артемьева^Zhanna Il'inichna Artem'eva^500762791256^^184101001^^1^^14.01.16
140194330965^140194330970^140194331010^5623^140194330968^140194330996^140194331000^140048628831^140194330969^87425000000^Блинова Оксана Альбертовна^Blinova Oksana Al'bertovna^172009925185^^774501001^^0^^16.03.16
140194330912^140194330917^140194330957^5623^140194330915^140194330943^140194330947^140063732200^140194330916^45286555000^Селиверст Брониславович Бобылев^Seliverst Bronislavovich Bobylev^0979519426^^302591001^^1^^06.11.16
140194330859^140194330864^140194330904^5623^140194330862^140194330890^140194330894^140330686217^140194330863^45286560000^Виталий Ярославович Самойлов^Vitalij Jaroslavovich Samojlov^306753751007^^332401001^^1^^09.04.16
